title,link,source,published_at,query
"Redução da dispersão da inflação se concentra em bens e BC vê juros restritivos por tempo prolongado, diz Galípolo - SBT News",https://news.google.com/rss/articles/CBMi7gFBVV95cUxNODhiVmIwZFdlV09Wbkg3VWpLeHlVM0FwdEFpTUIxNFdFVDdCbE5lejhzcGJTS2dNdHN2NzhxYmplN2FZOE80RkRlalNJTDNsZTJnYVZqejV1dXp5UExxSzRXRml1RjlFc09EQ2kxc0NSZnNEdHU0RHlTcXM5ZW1LeTZ1V21GWGRJWFozQ2tzUW5iN0FBRUF4SF84RHRQY2pwemlfc1ItS1g2RHdzNUNXYldHTlZBWnZNQTBqSzh4TVc3S1ZoeFJGbk5QRHFtbmFyRFUyeWljY1lxdEdnZVphdjBRS2QxUHRzb1lydUlR?oc=5,SBT News,2025-10-06 13:07:23-03:00,inflação OR IPCA OR IGP-M economia
Chico Guarnieri cobra diálogo antes de decisão sobre futuro da concessão de energia em MT - O EMPALLADOR,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPUEpDX3RuUkRlUDJ3TWVscGJwZVBYXy1lbWFZTV9meWRNZHpveTZHMldxYXRZdko1aExyY2N4U0YtVFJIZHphem5oN0JWMEdDZW5PYUhMeE51aWxWcDRPak15eG5GYkxWQjBIRjZXRUVpV21HRzkxZ2dDREFsdzIxSUdvVzBkcVNUbmVKSF9ESTZkTS1EekREQUlSVEFDanktWkYxSVNfMzJiUXJmeE0xOGlIdmQwQ1NO?oc=5,O EMPALLADOR,2025-10-06 13:04:00-03:00,"concessão OR ""leilão de concessão"" OR PPP OR ""parceria público-privada"""
Galípolo diz que mercado de trabalho é o 'mais exuberante' em 3 décadas e prevê juros altos por longo período - Economia em Pauta,https://news.google.com/rss/articles/CBMi1gFBVV95cUxQanBhUlNsR0dWT3lOMngyM25PS2lDT1lVbTBkRmR2MkJQWUtuWTFBVXRkai1lUzQtVjV6bkVSbDVUd2tPSHRQQ2hqTldzMEQzSkVNVW0wOHVCRnZkUDc1NUlOUHFINWlNUy16ZTRnckxRbHVxYndCTFc3U2J6Tlg0cERVNDVJOThMOHBIUFZ3bjU3dktJR1MwZkVHRXd1czAxV2xmTi1UbjN4VFlHVGY2NXR6ZXpqU3FBQXhsS3dlUTA5RlppdjFoY3hPUy04N1QwaVdjLWhR?oc=5,Economia em Pauta,2025-10-06 12:59:36-03:00,"desemprego OR ""mercado de trabalho"" OR emprego economia"
"Em semana de IPCA, Focus projeta inflação menor para setembro - Economia em Pauta",https://news.google.com/rss/articles/CBMilwFBVV95cUxPaENMdnAwaUZnT2sycWxVWEhiaDNIYm5JeW80U0c1RUJuUEtPcmM5dVRUVnAzN1BwRGU2dnhtNjAwc0RGZHRFcjU4WW1BWGw3cDlRZm45U1JxVUhjM3M2dV9obEVhanFTbjF1QXFXZjFWLXpVSEtzdE8xMWdWOWlURW90d0RNYW5PLVBwRDdvQ2ltdjdLTXI0?oc=5,Economia em Pauta,2025-10-06 12:54:17-03:00,inflação OR IPCA OR IGP-M economia
Vale realiza recompra de até R$ 16 bilhões em debêntures - Folha de Curitiba,https://news.google.com/rss/articles/CBMib0FVX3lxTE1fcmM5UUZuZnVKbVZUSVRWc2VvYmIydnExVEVfbVctNWxxUXZxaVVxTlBpU3pXS0hnYzJHTlM3NVlXa3JBcVUzN2pSdVYwcWZ5M3hrRUhuODE3X0dPZEk2VVNBSnFNZFBoN1ZQTFduQQ?oc=5,Folha de Curitiba,2025-10-06 12:45:00-03:00,"debêntures OR ""debenture incentivada"" OR ""lei 12.431"""
"Vale anuncia recompra de até R$ 16 bi em títulos perpétuos, que podem render 52.400% - InfoMoney",https://news.google.com/rss/articles/CBMivAFBVV95cUxPUmJONk9oNW9zMEhVZ3lKWkhSOVRsUjRQUy1CVWZpaVNWaUZfa2xBbzU5ZG5vTkpDRUFsVS03RzhrTnlDa3NWWjBsMTROU0daQjdtRHJKRU9VRnBGQndXMWR6NlRrZnRxSTBPX1JCQ0pEdW1ic1BMMnJzSGd2bWYxRFI5M2RXNXNqVXFha2lOYWVLMW5KSHQ4cUlIc3pjYTRaVGhPUll1T1NWNjdZYTNjMm0zX1hwWFA2QjdaLdIBwgFBVV95cUxORmJTWkZBYld0SUtKeUVXZnV2R1lVX3dmTkhhVHFsd3pWRHBCY1BFMUs4SDN4bXFEcWNtUk1wUU1ZeVBhamtpUTFvcGFUUG9od2tfTG1WS0F6OUFHX200MUVLQlQ5Yk5pUlBNY2I5Y05YSkF5SHZxNE5udHI5SDR3WTJSVVducFZrZHAyaXJhNDBzODF3dkltby01NUlkY19KMFpndXMwb3MzTV80SlhMOGJXc3dWb2tPYTZnTU1FcV9FQQ?oc=5,InfoMoney,2025-10-06 12:42:57-03:00,"debêntures OR ""debenture incentivada"" OR ""lei 12.431"""
Vale (VALE3) anuncia recompra de debêntures por R$ 42; entenda a operação - suno.com.br,https://news.google.com/rss/articles/CBMihgFBVV95cUxNZTlCWW9BZFpsRUg3TGZucl8wNHNMbzRqdGg2dGswMi0yQWNSZDBVX0lZT2xoc2dZTWJoUVdVVURGMVNKa1lzZU16bm5RTmVjWW5GUTNzVDVqSkxINUw3LVFHOWljdkxhcnpac1h3X2JRdUFXMzFKWnZBcElhT0xIOE5kaERDQdIBiwFBVV95cUxPWEpoMDZLSVRPOGNWVUh2Q1Z5WHVIR1RjT3hSa0pad29KREppa1BzSVpkRFVHQTRnSURGMTZST29VUXBiY0xuS2I5ZlllcWUyb3JlLThCSXZjNldfdV9lVHpOUUJnZ2RUZFN2U0xIb2RxZTBERmpuRGFHRUxubkUwLS1JdnM2b3M1Mm5Z?oc=5,suno.com.br,2025-10-06 12:25:09-03:00,"debêntures OR ""debenture incentivada"" OR ""lei 12.431"""
Pix parcelado: Banco Central publicará regulação no fim de outubro - TV Zoom,https://news.google.com/rss/articles/CBMikgFBVV95cUxPSUl3ZEZtSUFUSGtZSXdCQUg2akt6eTMyZndHR0RtRUVTNzhHVVJKSjU1WUljdHRyd1A3UHFCZ0xOdEx6Q0FTczB5eDUtT19USHpQQ0VGTGd4dkRBcF9NSEZjQ0UtNFQ4aDBoSzNQU010LXlISHJKLU5pRzVCRFBMMEEtUmVNRTgyYm16M2gyUVFhUQ?oc=5,TV Zoom,2025-10-06 12:25:04-03:00,"""Banco Central"" crédito OR ""resolução CMN"" OR ""circular BACEN"""
"BNDES já aprovou R$ 1,3 bi na linha de crédito para indústria 4.0 Página Inicial - Agência BNDES de Notícias",https://news.google.com/rss/articles/CBMitAFBVV95cUxOWnRaTS1NOFpFOHphSTB2QmpqMTVXaXEyZWRJQnV0czRQVmppaHAtOFYybC14YzhvZlZzamh6Mms5dHJ1a2ZxTTRfeG1RSXVseFJlUnVkQ0owdHQwMTEzSjNzQzA3dHM2djJYTVY5NUtJMW5nRlNIRjE4VnVPNnJ4b1RDYVowS19DSGwzeDVjamVqTmFHSHJjLXJ5bWVNVjlpUUpkOFhEQkNDRnhBNVY4Q0tiVVE?oc=5,Agência BNDES de Notícias,2025-10-06 11:59:00-03:00,"BNDES OR ""banco de desenvolvimento"" financiamento"
"Cielo vai emitir R$ 2,5 bilhões em debêntures para reforçar caixa - Valor Econômico",https://news.google.com/rss/articles/CBMiugFBVV95cUxPQllRSFJFR1BmdU15bkstV1FUMGNWLWF1SmdkLWF6aVpudkJvZlp6U3pudGZiVkQ4X3l5TFlVR2ZPNlhRbXd1RFpRU01tcjJSMzVSUURta3BWR1dqNHpaYUNMV2JVcUdtMnNWNlRWSE96MWM2R2tKSC13cG5oSEQ0eUNLeDlINkVPN056SWtLeXB3QTMzUmZFY3lDZ1p5bURueGhxeXZyLWVrUDluVzZTLThxaWZYWTlNakHSAcgBQVVfeXFMTVpLRXRfRG85RnMtUzhlN21SMnNwWG1UWmprN3pRdFlCc0FuMlVucGlMX1NqaWQycXVUM1hrZmRuTWt0ZURybnViVHJVdXhtTDU2TjREd0NSdF8tWXFZMHhiakdQMHlyQmdJSGItVVg1MlllVmNZY3RHTmZOYXRpOTctWEZIZFQwTHNheVlrVlBHaWtyYUcydnJuYllvQ3ZFd1J3NXRQRzFlTWhxYU5CVl8xeGoxdEEwU2pSWktGaGJfM00xODVuQXg?oc=5,Valor Econômico,2025-10-06 11:56:23-03:00,"debêntures OR ""debenture incentivada"" OR ""lei 12.431"""
Oferta da Vale para aquisição de debêntures pode chegar a R$ 16 bilhões | InvestNews - InvestNews,https://news.google.com/rss/articles/CBMisAFBVV95cUxPWEZTejl6dXV6ejY5WGlLa2JwUGk4czB6MmxYSEVDYXFGV3FNLXpORVhSQVAyZ3cxeTNCc2dGSWh5ZHFKc2gyUTBuM2ZOempfZ1JGbFJteEdtT1FxS3NpeWNmUGlRaFJ5SDdEQjlCUXhFTjF0N1d5dWlEMWpHVk84TGY0ODMwbUVsMS1OMl91OW9scXZaS2FmM25rb2NJSGg4eXhIOTNaZ3Z5QjQ0dklQYdIBtgFBVV95cUxOZXJxaDVlaWs5TTNjX2UxQ1dxa19POWNUZlBValZNTkN1MDNWaE5RYXRyaFpwQWVySFdBZkRYUDV2TlQwRmsxZTk3Q2NTdUdWM0M3SGxYWGxRLU1oZUd5a3pTRWpwVjhyY09hYkdFdm92ZURTdnJ0aHBRVUZtekFiMzNhV0lnZ2ptRU5xWEJCX1Rmb3dNUTZrUVJuMFoybzNmUVU3cnBjYUE1bWEzYlFJWUNwelhvdw?oc=5,InvestNews,2025-10-06 11:50:06-03:00,"debêntures OR ""debenture incentivada"" OR ""lei 12.431"""
Nunes sanciona projeto polêmico que autoriza a venda ou concessão de áreas públicas em São Paulo - CBN,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQWlJ2RTl6QXJMaHZwZEY5WklHTlNxSjRiSV9vVk5tQzhBM3NNZ0I5RkhlR2VNZ0tFVGpCRnJJZDFfVWtnODhWd0t2am53d2kyU2g2OUc2ZmtrVE5TaGNaY1lTdVoyc0xFNno0OGRXMEUyLUN5ajdqVTNmdHhoazJXRUFhLW82cDVqN2x5eEgxWFVTRnlFNnRkdngzeDE5MmhYeVZCNDV0VUQybjM5TUhONDgwdy1kSXBNOU9lRXRVN1pLUXlneXJhckdZSWtkdXVfd2dRSTAwSXlvTVpCZ09ISVdOOFBOQzVT0gH3AUFVX3lxTFBCakxtZ1EzRTdfVG10WVBUWTJfTTRGZEd5Skh4b011NUNlRjExRzEzejhMOTJmSWlFMVNUTGY1TFBuV2U3ZUkwNzF0Y1Y3ZzI5eWJ4NUEwTHNyMUhxUUpQMlNVcU5DdTE2QWxHb2dYUXd6TU9Xb3drc2NhV1JZYkRrejQ2Q3F6VDZWRU5jbGZJUlE3VEM0bXJ6TlFpVWJPa1lRLWk2NW9TaHNzajBkczZGa0RBWTFqc3ZQYS1WOUdHV1NLenluV05nNGxrTzEtSngybDZabDBKeGtsSkttRXVQWHkzVWxJMUpwZmk2NXE3ZFVtS0Jlczg?oc=5,CBN,2025-10-06 11:46:27-03:00,"concessão OR ""leilão de concessão"" OR PPP OR ""parceria público-privada"""
"Por que a Vale (VALE3) pretende desembolsar até R$ 16,3 bilhões para recomprar debêntures de quase 30 anos atrás - Seu Dinheiro",https://news.google.com/rss/articles/CBMi7AFBVV95cUxQOV9iT1JjamtNS2RDb0EySU1KVHMwVHltMU1ScnFjd0s4eDN4ZVF1eHZsVlRNenJCeFEwN3hmRjhncEZIQVNGTk1pZ1hvYml1TDBRLWZmZi1QU1R5TUFRUTcxZklYOEdSbFBYQmhWVU1vX1R4RTVySjFKbDh0RXNHZXlicGdrM3BvclQzYWE1T0EwSzBxcXNfVVFpUThndWQ3TXQzXzd0eXMzYUdwTjgzVWdJTzhxYmpBcHpqX1ljM2VwZzNFdUVIWERBSl9oY1U3RXlnNzdyX3d1RWNfcmVHalpKUVc3cjB6QWZpa9IB8gFBVV95cUxPbWRteE42TDkweERTdkFxMEYtSVQtSTFMeGFOSGZ6djRLZmFDclhsVnN1Y1B3T2oxeUM3R3ZGbDBnaUw3Wmo0MHo3eG9RSG5rQ1VacnpNSHFBd053Nl9reVE5R19TbUN3aGVab2JPbk8wZ0lVUGhRVWM2RVJlcjZtTnZhakxyeDN1Z3pDcFlqdmoxa0JVUGVobVNtalVvWU4xcGNDaC1WSWhkQVNKNjZKUEl3ZGtab2VoS2tEWWNlaEk2ZmlxcndsWGdlUU9tbUZqWk4wTERJcUJvWnFSUm5CRzU5TWZkRWdFYTlkZXQ2MUZOdw?oc=5,Seu Dinheiro,2025-10-06 11:35:04-03:00,"debêntures OR ""debenture incentivada"" OR ""lei 12.431"""
Vale anuncia recompra bilionária de debêntures antigas - BPMoney,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOUGxFaXh3REZfRzk4ZlhUNXlzVlhuSXkwUk0zWl9zdjhFb2FaUkp5TG95aXBISTFPc2JOWkpTLWpFTHVsbXNMVDNaUms5cUtWZjdxWjZvUzZRSC1TRkVLbEJxanRhaUZDelNzOUI0Rkg4S3BZSVZ0N1JoZlZjVndaTlppd3RPWnVWOVJQM05kTmFKWVcyX1RBR1hpZHBBN3hzU2s1aTluUDA?oc=5,BPMoney,2025-10-06 11:32:49-03:00,"debêntures OR ""debenture incentivada"" OR ""lei 12.431"""
"BRK Ambiental deve captar R$ 1,5 bilhão com debêntures - Valor Econômico",https://news.google.com/rss/articles/CBMirAFBVV95cUxPNUNfcXBUYk9LWVVhNW00b1BXUFJteXpVZDRNSDVFdEFRcUtKNWh5bS12WnFDNHQwOHMtRnpITkVXejg1QWdSdC1iVTNZLXpoWHdyUHFDT3NNdm1WdlhLMjNEUGpYRjQ1dU5EVDNLeDlkVTdhTUJkWERzY09jd2ROVVhVd0tCSmxIYmM0ZjY3R2hvZHFjSXR3cEgwdWZ4UXl5eFpBSnMxTFlDRWFr0gG7AUFVX3lxTE14Z296Yml1Yk81RVVKTU9wdHkxWWhHMGJVdGVzZjdYWWJmSEdnRHNkcVZIdWN5NDgyVl96T1hhZWRPdGYwNEtrS0ZkWWZNU1prcUhuZXF5X1BxeGNha2pOQndpZmxvSTN3dm5UbjF5bnF6R3JjODJxY09GLUdsejRKTm1aVHpDLVoyUmFwTUFwLTVHMGdpNVF0VEI4NXVGN18xNV9YMEdzZ1ZHQVZxaWJleTRFQ0g0NzVvYXc?oc=5,Valor Econômico,2025-10-06 11:29:10-03:00,"debêntures OR ""debenture incentivada"" OR ""lei 12.431"""
"Uranium Energy Corp encerra oferta pública de US$ 203 milhões - Investing.com Brasil - Finanças, Câmbio e Investimentos",https://news.google.com/rss/articles/CBMitwFBVV95cUxQWnNmbUVEZ0p6UGxQdVN6UDd1Z0puZUk3ZmZ0VzF2bEh6OUJkZ3hXM092VkVZd0MtTEVNWHdXY0l0YWFac0hMNk1GclZHcGMtbG5nQ3V4a0VSY3RpV3p2M1d5MC0weDk4bHd4aVh3Mk92NHlaX2Y4NGxwUGJCNE1DWC1NZ0hmUjNnOUpEdDZSS05BZkloZFhBSGV2YXFRNjF0YTdwLUt6UlRoejZwU0ltNHFyZTZBWm8?oc=5,"Investing.com Brasil - Finanças, Câmbio e Investimentos",2025-10-06 11:27:00-03:00,"""oferta pública"" OR IPO OR follow-on OR ""emissão primária"""
"Vale vai recomprar debêntures de 28 anos e pode pagar até R$16,3 bilhões - Vero Notícias",https://news.google.com/rss/articles/CBMiqAFBVV95cUxOU1dLNU94LXNPUGpLT2d3YldrN3RQQm8xVWIwMEE1VEh0NlFRMWZmVF9vdlhKblZiTFJqcEJuTWNNeE16OTFacmdhLXJaUFhBN0pKRnl5RTJWRVRoUjFHQzZlWDBCS0VQZ2wxcGlPeVVEbzJEN0xEcExzSW00eV91U1lfSXZGc2RvaWptTmJ3NUI0Z0gzUGtYV2k4QVgtbFJ2WENvRUFfWU8?oc=5,Vero Notícias,2025-10-06 11:20:00-03:00,"debêntures OR ""debenture incentivada"" OR ""lei 12.431"""
Novo crédito para o Agronegócio vem ganhando espaço nesta safra 2025/26 - Notícias Agrícolas,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQWjZmVUtuTnVvSE5rdmJLbkxLX3FyOWtUMW1FaGt5cXg4c1NUZjkzd2VFRUhnTllpU2tudU5DQ3BTYXh3djB2eXN6NUkzcnJRb0pKVGZ3dW51aGtjaldCT1IwVC1nTHN6T01aNkpGTDJ0UnhqeVRnS21kamhqQzBRS2V5SG5FWHVEbjBRU2htME5QRmZ4UEdHOVVjN0R5eTBmbUFob3gxR3A0TE1ZNjlpenh3NnUyeXRUVmVLV0xtcnh6aDB6aW9qSHduRWFqZnBhclc4dE40RVFVX2MzS1dKdWd5WnLSAeoBQVVfeXFMTVdhRlJMM05ZMGVLVlVDWXdpTkdXNkVqVElHaHJjX2M0UjAwM1k4VXBWak1xcnpDX2ZRSllRc0hsN29HYTdvSmREVDNGSF9KeDdIdlZldno0SVYxQUxFX2FkVml6dTdXdU1kUFVEbk5ISzlYM3VvTmJaNGdHOTFrbUtETWs1YXNfVFc2aVk3b1dpTTZGU1dYU0tyeG13Rzd4LVpLUHBYalBQa3JSZFlHbmplWXFCT3RaRm0wRW5kdkpKdzVscGFqVzBGT19kM3VxOThMazJmWHEtdDRRT3ZqYnFrcXQ1UWx2Nnpn?oc=5,Notícias Agrícolas,2025-10-06 11:14:09-03:00,"""agronegócio"" financiamento OR crédito rural"
Vale inicia oferta de aquisição facultativa de debêntures participativas - Clube FII News,https://news.google.com/rss/articles/CBMipwFBVV95cUxNVUJyNi1xRnFaZFh0REgwalpZbnV2VUZ2aGpUWXVHTFF4OS1MOXNScHVVNUs5Nl9EZ3JjMWZJVzBpQXZVeFVwV1g2VkJTQ3JTNm4wWndHQlV2RVVHcWFrZ0RJaEgwSTRhdGdZRzJzeXlRRWhWcmZ1UHVTMDRmVVprRDhTeEFVMEhscDFVa1hHcjRleGl6Z05tS1dSWDl1eGRscDNKdWRPSQ?oc=5,Clube FII News,2025-10-06 11:05:46-03:00,"debêntures OR ""debenture incentivada"" OR ""lei 12.431"""
"Boletim Focus: mercado reduz projeção da inflação para 4,8% - Agência Brasil",https://news.google.com/rss/articles/CBMi3gFBVV95cUxOMWozRTVpand2aFI5ZFZCV1lJY2x0ZXRxcV8zYm9UOElWUFZxb0MySE04cWhjQmltTC0zMFY2QVlwS2VGMEFnWjd1VHhTcFlQRnRxY1g3bW1Ia2kxMk5Hekw2YlhISGdFT2pLVFU4cy1xUGcxTHBJeldwQ3lncVRaOVM5T19fTDRqZ3dqYVhvMlRLdU1UQVVNa2JMVjFHaWhyZGJ3NEhSYS1icEI0dkRHQjZua2prVmJYU3c3VldnUnlmaWZTRVN3ZXJIX2RYTF9LWWFTa3M1enlmWXVPN0E?oc=5,Agência Brasil,2025-10-06 11:04:00-03:00,inflação OR IPCA OR IGP-M economia
Prio precifica hoje emissão de bonds de cinco anos - Valor Econômico,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNTkx2Y0VyeUlKNXJzZkhSbi12YUFULXloSXJqVnQzV2QtTnFfbzNPU0VsWlVYLVFfODJyazBqclFMNndrajVjcEFBR21UNWV4a1ppVjVUandmLUtXaDBZWmhBQzk1dnJjZTFadlF6M3B2ai1URTFzV1pXRTFMT05oSGtLTHhjSWx1bjBJNTdNOHhCcm53VnVHUDNsajNjVzlTamloWW5MT3RsVWfSAboBQVVfeXFMTXpzdHNna3hvSzdUTmxkd3VZb1VNcmhpWlJqZ0ZfTW9RbVFuYXcxTzdrOEZMSF8wNm1MMzhBTTZHLW40M18yUUp4RkdzWl9BMGhlMU05YjhMLWQycl8xd0RTTXh1YjlUVGE1VWpRRXVLVUNkc2E1S0FwOW40Wks1LW82ZlY4NUhZVUVHektDam05WHQ1bGptWHFnMTRJOERSZHNOaUxneWFtVkFtRzlZMGpRRXF2Y1MyOGp3?oc=5,Valor Econômico,2025-10-06 11:03:08-03:00,"""mercado internacional"" bonds OR dívida"
Vale inicia oferta de debêntures participativas em 2025 - Acionista.com.br,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOdVJCWk1Zby1mMGVVdC00X1VUUkhXSUF3MTIyc0NIdEVsbUUyRkxiQWdrLXNxU0k4aTN5ZEFlWmYyUTAtc0Vkb29NRXdjQ09TcHN0TVBPeHVDdWVNQmp3a0M0X0hwUnV2a0lkajREQU5rS1lXem5wbGJ6cHdyMjIwQ0NNd0RQOEJB?oc=5,Acionista.com.br,2025-10-06 11:02:22-03:00,"debêntures OR ""debenture incentivada"" OR ""lei 12.431"""
Vale (VALE): Oferta para aquisição facultativa de debêntures - Acionista.com.br,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQUXBFRHBGenlBR05HdGJOUGRZRWJCWEZNNmJkcTZzWE9HZ2Fmb2xUVFhhbUlNQjZpVWt5NEpHaUl4LXdRZlZCLTd6RjhQQnFlemQ1dHRaYlZvcENrdGRsNmdIcy0xX1M3RmNydHFKSjNTLUkzelF3Nm85QzRNMkJCbnF5QVlfbUpvV0RB?oc=5,Acionista.com.br,2025-10-06 11:02:22-03:00,"debêntures OR ""debenture incentivada"" OR ""lei 12.431"""
IPCA 2025 tem leve queda e permanece acima do limite da meta - noticiasdoplanalto.com.br,https://news.google.com/rss/articles/CBMimwFBVV95cUxQUkdMZ25SNE9kWTNqVlhzSndvRzlyTGsyNWpSbDdKay1tZnJ4czNQZWM1WDFuQzFIUjF6ZjhBcEsyRDY4Y1EyQjB4V0VGdjFQQTZqUV9WRWRCOTNmZmIya01sN3lwU1h4Y25zME9rYUFNYm1QNHA4MGRoYkpSWEtqeGlXc3JmcUtDNUl5aHRmbHozcVNURVhvQ25Sdw?oc=5,noticiasdoplanalto.com.br,2025-10-06 10:57:55-03:00,inflação OR IPCA OR IGP-M economia
